Rank,PlayerName,Nationality,Position,Squad,Age,BirthYear,MatchPlayed,GamesStarted,MinutesPlayed,MinutesDividedBy90,Goals,Assists,NonPenalityGoals,PenalityKicksScored,PenalityKicksAttempted,YellowCards,RedCards,GoalsPer90Minutes,AssistsPer90Minutes,GoalsAndAssistsPer90Minutes,NonPenalityGoalsPer90Minutes,NonPenalityGoalsAndAssistsPer90Minutes,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedAssists,ExpectedNonPenalityGoalsAndAssists,ExpectedGoalsPer90Minutes,ExpectedAssistsPer90Minutes,ExpectedGoalsAndAssistsPer90Minutes,ExpectedNonPenalityGoalsPer90Minutes,ExpectedNonPenalityGoalsAndAssistsPer90Minutes
130,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,23,1996,26,24,2079,23.1,1,0,1,0,0,4,1,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.0,1.1,0.05,0.00,0.05,0.05,0.05
131,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32,1988,17,7,828,9.2,0,2,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,0.3,0.3,0.3,0.6,0.03,0.03,0.06,0.03,0.06
132,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,34,1986,33,28,2324,25.8,1,1,1,0,0,9,2,0.04,0.04,0.08,0.04,0.08,1.9,1.9,1.1,3.0,0.07,0.04,0.12,0.07,0.12
133,Djené\Djene,tg TOG,DF,Getafe,28,1991,34,34,2941,32.7,0,1,0,0,0,8,2,0.00,0.03,0.03,0.00,0.03,0.2,0.2,0.1,0.3,0.01,0.00,0.01,0.01,0.01
134,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,28,1992,35,35,3120,34.7,1,0,0,1,2,0,0,0.03,0.00,0.03,0.00,0.00,1.6,0.1,0.5,0.6,0.05,0.01,0.06,0.00,0.02
135,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,29,1990,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
136,Carlos Dominguez\Carlos-Dominguez,es ESP,DF,Celta Vigo,19,2001,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05
137,John Donald\John-Donald,es ESP,DF,Elche,19,2000,2,1,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
138,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,27,1992,7,0,101,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08
139,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,22,1998,23,7,779,8.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.04,0.00,0.05,0.04,0.05
