Rank,PlayerName,Nationality,Position,Squad,Age,BirthYear,MinutesDividedBy90,Goals,Shots,ShotsOnTarget,ShotsOnTargetPercentage,ShotsPer90Minutes,ShotsOnTargetPer90Minutes,GoalsPerShot,GoalsPerShotOnTarget,AverageDistanceFromGoalOnShot,FreeKicks,PenalityKicks,PenalityKicksAttempted,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedGoalsPerShot,DifferenceBetweenExpectedAndRealGoals,NonPenalityGoalsMinusExpectedNonPenalityGoals
534,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,24,1996,5.8,1,3,1,33.3,0.52,0.17,0.33,1.00,34.6,0,0,0,0.2,0.2,0.08,+0.8,+0.8
535,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,25,1994,15.6,0,10,3,30.0,0.64,0.19,0.00,0.00,18.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8
536,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,23,1997,33.0,2,8,3,37.5,0.24,0.09,0.25,0.67,7.3,0,0,0,1.2,1.2,0.16,+0.8,+0.8
537,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,31,1989,21.0,7,42,9,21.4,2.00,0.43,0.07,0.33,24.3,3,4,5,6.2,2.4,0.06,+0.8,+0.6
538,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,26,1994,17.2,0,17,7,41.2,0.99,0.41,0.00,0.00,21.2,1,0,0,1.5,1.5,0.09,-1.5,-1.5
539,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,28,1991,28.1,1,30,8,26.7,1.07,0.28,0.03,0.13,21.7,0,0,0,2.7,2.7,0.09,-1.7,-1.7
540,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,20,1999,7.8,3,23,12,52.2,2.93,1.53,0.13,0.25,16.6,0,0,0,3.1,3.1,0.14,-0.1,-0.1
541,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,29,1990,27.5,0,3,1,33.3,0.11,0.04,0.00,0.00,19.0,1,0,0,0.1,0.1,0.04,-0.1,-0.1
542,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,26,1993,7.2,0,2,1,50.0,0.28,0.14,0.00,0.00,8.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
543,Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,23,1997,14.6,4,36,9,25.0,2.46,0.61,0.08,0.33,13.3,2,1,1,4.1,3.3,0.09,-0.1,-0.3
544,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,31,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
545,Eugeni Valderrama\Eugeni-Valderrama,es ESP,FWMF,Huesca,26,1994,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
546,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Granada,23,1997,15.0,0,1,0,0.0,0.07,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
547,Manu Vallejo\Manu-Vallejo,es ESP,FW,Valencia,23,1997,10.6,5,18,13,72.2,1.71,1.23,0.28,0.38,11.7,0,0,0,4.5,4.5,0.25,+0.5,+0.5
548,Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,22,1998,14.8,3,23,8,34.8,1.56,0.54,0.13,0.38,21.4,0,0,0,2.0,2.0,0.09,+1.0,+1.0
549,Raphaël Varane\Raphael-Varane,fr FRA,DF,Real Madrid,27,1993,30.2,2,17,4,23.5,0.56,0.13,0.12,0.50,8.9,0,0,0,2.1,2.1,0.13,-0.1,-0.1
550,Denis Vavro\Denis-Vavro,sk SVK,DF,Huesca,24,1996,6.8,0,8,2,25.0,1.18,0.29,0.00,0.00,28.2,1,0,0,0.2,0.2,0.03,-0.2,-0.2
551,Franco Vázquez\Franco-Vazquez,ar ARG,FWMF,Sevilla,31,1989,1.8,1,3,1,33.3,1.65,0.55,0.33,1.00,13.8,0,0,0,0.3,0.3,0.11,+0.7,+0.7
552,Kevin Vázquez\Kevin-Vazquez,es ESP,DF,Celta Vigo,27,1993,6.2,0,1,0,0.0,0.16,0.00,0.00,,23.3,0,0,0,0.0,0.0,0.03,0.0,0.0
553,Lucas Vázquez\Lucas-Vazquez,es ESP,DFFW,Real Madrid,29,1991,20.5,2,22,8,36.4,1.07,0.39,0.09,0.25,18.9,0,0,0,2.2,2.2,0.10,-0.2,-0.2
554,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,24,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
555,Gabriel Veiga\Gabriel-Veiga,es ESP,MFDF,Celta Vigo,18,2002,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
556,Unai Vencedor Paris\Unai-Vencedor-Paris,es ESP,MF,Athletic Club,19,2000,18.9,0,9,1,11.1,0.48,0.05,0.00,0.00,22.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5
557,Gonzalo Verdú\Gonzalo-Verdu,es ESP,DF,Elche,31,1988,32.7,0,12,4,33.3,0.37,0.12,0.00,0.00,12.8,2,0,0,0.7,0.7,0.06,-0.7,-0.7
558,Mikel Vesga\Mikel-Vesga,es ESP,MF,Athletic Club,27,1993,19.1,0,23,5,21.7,1.20,0.26,0.00,0.00,16.0,0,0,0,1.6,1.6,0.07,-1.6,-1.6
559,Rúben Vezo\Ruben-Vezo,pt POR,DF,Levante,26,1994,25.7,1,5,2,40.0,0.19,0.08,0.20,0.50,14.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7
560,Iñigo Vicente\Inigo-Vicente,es ESP,FWMF,Athletic Club,22,1998,0.6,0,1,0,0.0,1.73,0.00,0.00,,21.8,0,0,0,0.0,0.0,0.04,0.0,0.0
561,Fede Vico\Fede-Vico,es ESP,MFFW,Granada,26,1994,8.5,0,10,5,50.0,1.17,0.59,0.00,0.00,21.1,2,0,0,0.5,0.5,0.05,-0.5,-0.5
562,Aleix Vidal\Aleix-Vidal,es ESP,DF,Sevilla,30,1989,6.6,0,1,0,0.0,0.15,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.03,0.0,0.0
563,Nacho Vidal\Nacho-Vidal,es ESP,DF,Osasuna,25,1995,26.1,0,9,2,22.2,0.34,0.08,0.00,0.00,16.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5
564,Toni Villa\Toni-Villa,es ESP,MFFW,Valladolid,25,1995,10.8,2,15,5,33.3,1.39,0.46,0.13,0.40,18.5,0,0,0,0.9,0.9,0.06,+1.1,+1.1
565,Asier Villalibre\Asier-Villalibre,es ESP,FW,Athletic Club,22,1997,17.7,4,40,15,37.5,2.27,0.85,0.10,0.27,13.5,0,0,0,5.2,5.2,0.13,-1.2,-1.2
566,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,23,1997,19.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
567,Vitolo\Vitolo,es ESP,MFFW,Atlético Madrid,30,1989,3.3,0,2,0,0.0,0.60,0.00,0.00,,11.4,0,0,0,0.5,0.5,0.24,-0.5,-0.5
568,Šime Vrsaljko\Sime-Vrsaljko,hr CRO,DF,Atlético Madrid,28,1992,5.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
569,Nikola Vukčević\Nikola-Vukcevic,me MNE,MF,Levante,28,1991,9.0,0,2,0,0.0,0.22,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
570,Daniel Wass\Daniel-Wass,dk DEN,MFDF,Valencia,31,1989,33.1,4,37,10,27.0,1.12,0.30,0.08,0.30,24.5,9,1,1,3.2,2.4,0.07,+0.8,+0.6
571,Shon Weissman\Shon-Weissman,il ISR,FW,Valladolid,24,1996,23.7,6,38,16,42.1,1.60,0.68,0.16,0.38,12.3,0,0,0,5.3,5.3,0.14,+0.7,+0.7
572,Iñaki Williams\Inaki-Williams,es ESP,FW,Athletic Club,26,1994,26.5,6,52,17,32.7,1.96,0.64,0.10,0.29,15.2,0,1,1,6.9,6.2,0.12,-0.9,-1.2
573,Nico Williams\Nico-Williams,es ESP,MF,Athletic Club,18,2002,0.6,0,1,0,0.0,1.58,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.02,0.0,0.0
574,Jawad El Yamiq\Jawad-El-Yamiq,ma MAR,DF,Valladolid,28,1992,15.3,0,8,2,25.0,0.52,0.13,0.00,0.00,15.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4
575,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,26,1993,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
576,Yoel\Yoel,es ESP,GK,Eibar,31,1988,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
577,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,Celta Vigo,26,1994,5.1,0,3,0,0.0,0.58,0.00,0.00,,16.8,0,0,0,0.4,0.4,0.14,-0.4,-0.4
578,Joseba Zaldúa\Joseba-Zaldua,es ESP,DF,Real Sociedad,28,1992,7.1,0,2,1,50.0,0.28,0.14,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
579,Oier Zarraga\Oier-Zarraga,es ESP,MF,Athletic Club,21,1999,1.1,0,1,0,0.0,0.90,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
580,Igor Zubeldia\Igor-Zubeldia,es ESP,DF,Real Sociedad,23,1997,21.8,1,9,3,33.3,0.41,0.14,0.11,0.33,16.2,0,0,0,1.0,1.0,0.12,0.0,0.0
581,Martín Zubimendi\Martin-Zubimendi,es ESP,MF,Real Sociedad,21,1999,20.9,0,7,1,14.3,0.33,0.05,0.00,0.00,12.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
582,Martin Ødegaard\Martin-Odegaard,no NOR,MFFW,Real Madrid,21,1998,2.6,0,3,0,0.0,1.15,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
